,apt_name,address
0,신현(101동),신교동 6-13
1,사직파크맨션,필운동 142
2,두레엘리시안,필운동 174-1
3,파크팰리스,내수동 95
4,킹스매너,내수동 110-15
5,효성쥬얼리시티,인의동 48-2
10,(9-1),이화동 9-1
11,아마레스,명륜1가 45-5
12,리치캐슬아파트,명륜1가 33-85
13,아남3,명륜2가 237
17,(436-79),창신동 436-79
18,두산,창신동 232
21,창신쌍용2,창신동 703
22,동대문,창신동 328-17
27,창신쌍용1,창신동 702
31,동문 A,숭인동 545
32,숭인상가,숭인동 204-11
33,갑을,평창동 595
34,롯데낙천대,평창동 72
38,현대,무악동 82
42,청호그린빌,누상동 40
45,로얄팰리스스위트,수송동 85
46,현대뜨레비앙,익선동 55
47,운현신화타워,익선동 30-6
51,동성아파트(2동),동숭동 4-157
53,송림아마레스아파트,명륜1가 2-12
57,아남1,명륜2가 4
73,MID그린(1동),창신동 601
89,삼성,평창동 596
92,일성빌라트,평창동 145-5
93,부암스카이뷰,부암동 218-1
98,신현(102동),신교동 6-11
99,경희궁의아침3단지,내수동 72
106,낙원,낙원동 288
111,대보,명륜1가 36-5
113,아남2,명륜2가 236
127,브라운스톤창신,창신동 23-76
135,MID그린(8동),창신동 602-1
147,"동문 (비동,씨동) (494-0)",숭인동 494
149,오성,숭인동 888
150,숭인동 105동 (569-3),숭인동 569-3
151,롯데캐슬천지인,숭인동 76
152,동아,교북동 101
153,대성맨션,행촌동 41-1
156,벽산블루밍평창힐스,평창동 45
164,구암하이빌,신영동 105-22
172,신동아블루아광화문의 꿈,필운동 254
173,경희궁의아침4단지,내수동 73
174,세종로대우,내수동 167
185,건양하늘터,명륜1가 23
198,그린,창신동 23-326
202,창신이수,창신동 23-816
217,도시그린빌라트19,숭인동 181-121
223,형우럭스빌(33-1),평창동 33-1
227,대아파크빌,신영동 254
240,신문로맨션,신문로1가 238
250,렉스빌,명륜1가 19
252,MID그린(7동),창신동 601-8
267,동문 (482-0),숭인동 482
270,도시그린빌라트18차,숭인동 820-1
296,(5-89),명륜1가 5-89
304,삼흥,창신동 638-45
310,동문상가,창신동 436-41
331,청운현대,청운동 56-45
333,대성스카이렉스,견지동 110
355,크래스빌,평창동 46-1
359,광화문풍림스페이스본(9-0),사직동 9
360,광화문풍림스페이스본(9-1),사직동 9-1
375,MID그린(3동),창신동 601-2
383,별빛고운,부암동 235-2
400,숭인동 104동 (569-2),숭인동 569-2
406,인왕산아이파크,무악동 60
416,혜화훼미리,혜화동 20-12
431,효자,통인동 5-1
444,MID그린(9동),창신동 601-6
445,종로센트레빌,숭인동 2-1
461,한빛,명륜3가 1-30
524,동성아파트(1동),동숭동 4-161
553,미도파,당주동 145
585,포시즌,구기동 95-15
586,렉스팰리스,구기동 95-1
641,종로청계힐스테이트,숭인동 766
651,롯데캐슬 로잔,평창동 108
670,세종,당주동 100
702,MID그린(5동),창신동 601-4
705,성용,창신동 640-252
711,탑스빌,숭인동 178-76
725,프라임캐슬(케이빌라트),부암동 265-10
736,경희궁의아침2단지,내수동 71
752,MID그린(4동),창신동 601-5
787,(60-1),연건동 60-1
821,하림빌라트,숭인동 473
902,동대문맨션,창신동 578-5
977,유성,창신동 640-76
1012,MID그린(2동),창신동 601-1
1081,(627-120),창신동 627-120
1159,주숭보아파트,숭인동 535
1161,노블레스빌,평창동 155-1
1442,덕산,창신동 639-50
1512,숭인동 103동 (569-4),숭인동 569-4
1516,르트랑시망,평창동 102
1551,동일상가,숭인동 233-6
1561,CS타워,충신동 62-2
1750,창림,창신동 639-20
1944,무악다온채,무악동 66-1
2117,흥인,창신동 627-21
2164,숭인동 102동 (569-5),숭인동 569-5
2308,종로유케이201,숭인동 201-11
2433,삼전솔하임2차,숭인동 296-19
2529,주건축물제1동,숭인동 1392
2600,종로동광모닝스카이,숭인동 1421-1
2765,이화에수풀,연건동 195-10
2786,숭인동 101동(제3호) (569-0),숭인동 569
2844,일우,창신동 602
2849,종로중흥S클래스,숭인동 202-3
2908,숭인한양LEEPS,숭인동 1421-2
2911,동문타운,숭인동 181-105
2937,(1-102),명륜3가 1-102
3319,세종아파트,옥인동 56
3480,MID그린(6동),창신동 601-7
3513,종로아인스빌,숭인동 1392-1
3599,삼전솔하임4차,숭인동 318-2
4219,인왕산2차아이파크,무악동 88
4302,엘리시아,평창동 66-1
5027,버넷하임1,숭인동 1421
5048,장충,장충동2가 193-29
5050,약수하이츠,신당동 842
5051,란스미어,신당동 404-2
5052,동산빌라(2차),신당동 432-1952
5055,청구파크뷰,신당동 292-35
5056,남산타운,신당동 844
5057,삼성홈타운,신당동 849
5060,삼성V아파트A동,신당동 290-42
5064,기린,신당동 333-26
5065,인성아트빌,신당동 432-502
5071,우석,신당동 432-2013
5081,(432-2001),신당동 432-2001
5084,다오아트빌,신당동 432-498
5091,순화동더샵,순화동 151
5093,삼성사이버빌리지,중림동 200
5096,성요셉,중림동 149
5099,대우디오빌,만리동1가 62-7
5100,이지-빌,회현동1가 100-12
5102,삼풍,회현동1가 146-1
5104,대림상가,산림동 207-2
5105,하이 1 (113-5),신당동 113-5
5109,동산,신당동 432-579
5110,명경아트빌,신당동 432-1979
5111,다다,신당동 432-1982
5113,유정,신당동 432-1970
5116,청구드림,신당동 290-90
5124,수산타운(2차),신당동 432-2006
5128,GV,신당동 432-806
5129,토토타워(5차),신당동 432-1061
5131,진달래,신당동 333-42
5132,남산정은스카이,신당동 366-126
5143,남산퍼시픽,남산동2가 42
5146,신성상가,인현동2가 192-30
5147,묵정,묵정동 11-67
5156,신당동파라다이스,신당동 846
5162,명경,신당동 432-657
5164,성지,신당동 333-9
5171,대성드림,신당동 290-52
5182,남산리젠트힐,신당동 432-1669
5187,하영,신당동 432-1956
5216,도현블랑빌,신당동 432-2164
5222,aaa,흥인동 3-4
5224,바비엥3,순화동 215
