,Unnamed: 0,Unnamed: 0.1,index,city,gu,dong,park_name,park_type,park_area,park_exercise_facility,park_entertainment_facility,park_benefit_facility,park_cultural_facitiy,park_facility_other,park_open_year,reference_date,name,id,name_1,id_1,lat,lng
0,0,0,58,서울특별시,서초구,반포동,반  포,근린공원,26092.2,,,,,,1981.0,2018-06-30,반포동 반  포 근린공원,서울 서초구 반포동,반포동 반  포,서울 서초구 사평대로18길 15-5,37.5051446767402,127.013359062646
1,1,1,59,서울특별시,서초구,양재동,방아다리1,근린공원,2870.8,,,,,,1988.0,2018-06-30,양재동 방아다리1 근린공원,no,양재동 방아다리1,no,,
2,2,2,60,서울특별시,서초구,양재동,방아다리2,근린공원,2934.3,,,,,,1988.0,2018-06-30,양재동 방아다리2 근린공원,no,양재동 방아다리2,no,,
3,3,3,61,서울특별시,서초구,양재동,양재천,근린공원,19258.0,,,,,,1988.0,2018-06-30,양재동 양재천 근린공원,서울 서초구 양재2동,양재동 양재천,서울 강남구 도곡동,37.4706332171867,127.041288687936
4,4,4,62,서울특별시,서초구,양재동,마  방,근린공원,6546.6,,,,,,1983.0,2018-06-30,양재동 마  방 근린공원,no,양재동 마  방,no,,
5,5,5,63,서울특별시,서초구,양재동,양  재,근린공원,32523.4,,,,,,1983.0,2018-06-30,양재동 양  재 근린공원,서울 서초구 양재2동 311,양재동 양  재,서울 서초구 남부순환로 지하 2585,37.471662964149104,127.04235754761801
6,6,6,64,서울특별시,서초구,서초동,용허리,근린공원,4641.9,,,,,,1989.0,2018-06-30,서초동 용허리 근린공원,서울 서초구 서초동 1324-1,서초동 용허리,서울 서초구 서초동 1324-1,37.49425670760179,127.02294073438298
7,7,7,65,서울특별시,서초구,서초동,명  달,근린공원,5466.4,,,,,,1989.0,2018-06-30,서초동 명  달 근린공원,서울 서초구 서초동,서초동 명  달,no,37.4900861966504,127.01953478052
8,8,8,66,서울특별시,서초구,잠원동,사평리,근린공원,1913.7,,,,,,1989.0,2018-06-30,잠원동 사평리 근린공원,서울 서초구 잠원동 51-3,잠원동 사평리,서울 서초구 잠원동 51-3,37.519882055691205,127.014759056287
9,9,9,67,서울특별시,서초구,잠원동,잠  원,근린공원,2373.5,,,,,,1989.0,2018-06-30,잠원동 잠  원 근린공원,서울 서초구 잠원동 62-5,잠원동 잠  원,서울 서초구 나루터로 65,37.5127575866116,127.01013387588199
10,10,10,68,서울특별시,서초구,잠원동,신  동,근린공원,6648.4,,,,,,1979.0,2018-06-30,잠원동 신  동 근린공원,서울 서초구 잠원동 58-14,잠원동 신  동,서울 강남구 언주로 710,37.5142548979703,127.01427338001801
11,11,11,69,서울특별시,서초구,양재동,고인돌,근린공원,4579.0,,,,,,,2018-06-30,양재동 고인돌 근린공원,서울 서초구 양재동 390,양재동 고인돌,서울 서초구 양재동 390,37.4713344488785,127.046680483106
12,12,12,70,서울특별시,서초구,양재동,바우뫼,근린공원,16386.1,,,,,,1983.0,2018-06-30,양재동 바우뫼 근린공원,서울 서초구 양재동 105,양재동 바우뫼,서울 서초구 양재동 105,37.4746308427919,127.034470497303
13,13,13,71,서울특별시,서초구,서초동,서리풀,근린공원,548520.8,,,,,,1971.0,2018-06-30,서초동 서리풀 근린공원,서울 서초구 서초동 산 180-1,서초동 서리풀,서울 서초구 서초대로50길 39 1층,37.495387378600704,127.003994419
14,14,14,72,서울특별시,서초구,반포동,서래골,근린공원,4690.8,,,,,,1995.0,2018-06-30,반포동 서래골 근린공원,no,반포동 서래골,no,,
15,15,15,73,서울특별시,서초구,잠원동,명주,근린공원,4952.6,,,,,,1979.0,2018-06-30,잠원동 명주 근린공원,서울 서초구 잠원동 50-4,잠원동 명주,서울 서초구 잠원동 50-4,37.51720836916729,127.01514911780899
16,16,16,74,서울특별시,서초구,반포동,반딧불,근린공원,13606.8,,,,,,2005.0,2018-06-30,반포동 반딧불 근린공원,서울 서초구 신반포로42길 12,반포동 반딧불,서울 서초구 신반포로42길 12,37.509751276222204,127.018475705532
